name	ownerFirstName	ownerLastName	street	streetNumber	zip	city	image	description	email	phone	whatsapp	instagram	facebook	otherContacts	homepage	onlineShop	deliveryCollect	deliveryByOwner	deliveryByService	paymentInvoice	paymentPaypal	paymentCreditcard	paymentCash	paymentOnDelivery	paymentSofort	paymentAmazon	category
Kaufhaus an der Ecke	Karin	Mueller	Berger Straße	4	60310	Frankfurt am Main	Kann aus Google verwendet werden	Das Kaufhaus an der Ecke hat für dich immer die neuesten Trends in Sachen Fashion vor Ort - und das schon seit über 15 Jahre mit unserem fachkundigen Team. Wir freuen uns auf deinen virtuellen Besuch!	karin.mueller@test.de	069/1234567	0171/121121	Account Link	Account Link	Facetime	eckladen.de	eckladen.de/shop	Ja	Ja	Nein	Ja	Nein	Ja	Ja	Nein	Nein	Nein	Kleidung, Lifestyle
Hetzel	Angelika	Hetzel	Stuttgarter Str.	20-Jan	71665	Vaihingen/Enz	Kann aus in VAI verwendet werden oder google	Wir haben die neusten Trends im Bereich Uhren, Schmuck und Sonnenbrillen.Kontaklinsen Nachbestellungen und Pflegemittel möglich. Melden sie sich! Wir sind für sie da!	info@hetzel-vaihingen.de	07042/95380	nein 	nein	nein	nein 	http://www.hetzel-vaihingen.de/	nein 	Ja	Ja	nein 	Ja	nein 	nein 	nein 	nein 	nein 	nein 	Schmuck, Uhren und Sonnenbrillen Kontaktlinsen und Pflegemittel
Sämann Kaufhaus GmbH & Co. KG	Klaus	Sämann	Stuttgarter Str. 	46-52	71665	Vaihingen / Enz	Kann aus Google verwendet werden	Das Kaufhaus zum Verlieben	vaihingen@kaufhaus-saemann.de	07042/9301-0	Nein	saemann_1922	fb.com/kaufhaus.saemann	Nein	kaufhaus-saemann.de	Nein	Ja	Ja	Ja	Ja	Nein	Nein	Ja	Nein	Nein	Nein	Mode, Sport, Living, Spielwaren
Goldwerk	Florian 	Hamel	Bahnhofstraße 	71	71665	Vaihingen Enz	http://goldwerk.online/wp-content/uploads/2020/03/photo_2019-12-01_22-31-26-1024x575.jpg	Goldwerk ist die Bioland Imkerei aus Vaihingen Enz. Unsere regionalen Honige  und handgemachten Kerzen sind hier für dich erhältlich.	mail@goldwerk.online	0152/55724377	0152/55724377	https://www.instagram.com/goldwerk.online/	x	x	www.goldwerk.online	x	Nein	Ja	Ja	Ja	Ja	Nein	ja	Nein	Nein	Nein	Feinschmecker, Lebensmittel
Weingut Sonnenhof	Martin	Fischer	Sonnenhof	2	71665	Vaihingen / Enz - Gündelbach	Wetransfer	Württembergs größtes, privatgeführtes Weingut wird von Martin Fischer bewirtschaftet. Die Wurzeln des Weinbaus in der Familie reichen bis in das Jahr 1522 zurück.  Mit Achtung, Rücksicht und Vertrauen führt Martin Fischer das Handwerk seiner Vorfahren fort.	info@weingutsonnenhof.de	7042818880		https://www.instagram.com/weingutsonnenhof/ 	https://www.facebook.com/WeingutSonnenhof/		https://www.weingutsonnenhof.de/ 	https://www.weingutsonnenhof.de/online-shop/ 	Ja	Nein	Ja	Ja	Ja	Nein	Ja	Nein	Nein	Nein	Weingut, Wein, Getränke, Genuss, 
Dorfladen Enzweihingen			Vaihinger Str.	8	71665	Vaihingen an der Enz kann	von Homepage/Regional, Bio und	Regional, Bio und Edeka	info@enzweihinger-dorfladen.de	07042-9110107	nein	nein	nein	Facetime	enzweihinger-dorfladen.de	nein	ja	ja, Enzweihingen,Riet, Aurich	x	Sepa-Lastschrift	nein	nein	ja	nein	nein	nein	Lebensmittel
JUNG-Fabrikverkauf / 																											
Gummi Bären Land	Jung since 1828 GmbH & Co. KG	GF: Arne Paul Bender & Dennis Dennig	Industriestraße	11	71665	Vaihingen/Enz - kleinglattbach	Kann aus Google verwendet werden	Das Gummi Bären Land ist ein Fabrik- und Outlet-Verkauf der JUNG since 1828 GmbH & Co. KG und nicht nur in der Region um Vaihingen/Enz für seine leckeren Bonbons aus eigener Herstellung, Fruchtgummis, Schokolade, Kekse und viele weitere Leckereien bekannt. Der Süßigkeiten Shop bietet eine große Auswahl für alle, die Süßigkeiten online bestellen möchten.	f.moebus@jung-europe.de	07042/959440	nein 	nein 	https://www.facebook.com/gummibaerenland	nein 	https://www.gummibaerenland.de/	https://www.gummibaerenland.de/	Ja	Ja	Ja	Nein	Ja	Ja	Ja	Nein	Ja	Nein	Süßwaren,
salzige Snacks																											
Kachur Werbeagentur und Werbetechnik	Alexander	Kachur	Steinbeisstraße	55	71665	Vaihingen an der Enz	Wetransfer	Hochwertige Schilder, (Fahrzeug-)Beschriftungen und Messeausstattung, alles bei uns im Haus produziert. Dazu Corporate Design, Printmedien und Websites aus unserer Werbeagentur.	info@kachur.eu 	07042 - 814339-0	0171-2102110	@kachur.werbung	@kachur_werbung		www.kachur.eu		Ja	Ja	Ja	Ja	Ja	Nein	Ja	Nein	Ja	Nein	Werbung, Marketing; Werbeagenturen, Handwerk
