id	name	owner.firstName	owner.lastName	street	streetNumber	zip	city	coordinates	image	description	email	phone	whatsApp	instagram	facebook	otherContacts	website	onlineShop	delivery.collect	delivery.deliveryByOwner	delivery.deliveryByService	paymentMethods.invoice	paymentMethods.paypal	paymentMethods.creditcard	paymentMethods.cash	paymentMethods.onDelivery	paymentMethods.sofort	paymentMethods.amazon	category	DSGVO Bestätigung
Hetzel	Hetzel Optik Schmuck Uhren	Angelika	Hetzel	Stuttgarter Str.	20-Jan.	71665	Vaihingen an der Enz	48.9312419,8.958411	Kann aus in VAI verwendet werden oder google	Wir haben die neusten Trends im Bereich Uhren, Schmuck und Sonnenbrillen.Kontaklinsen Nachbestellungen und Pflegemittel möglich. Melden sie sich! Wir sind für sie da!	info@hetzel-vaihingen.de	07042/95380	Nein	nein	nein		http://www.hetzel-vaihingen.de/		Ja	Ja	nein 	Ja	nein 	nein 	nein 	nein 	nein 	nein 	Schmuck, Uhren und Sonnenbrillen Kontaktlinsen und Pflegemittel	OK
Saemann	Sämann Kaufhaus GmbH & Co. KG	Klaus	Sämann	Stuttgarter Str. 	46-52	71665	Vaihingen an der Enz	48.93008575,8.959487248868903	Kann aus Google verwendet werden	Das Kaufhaus zum Verlieben	vaihingen@kaufhaus-saemann.de	07042/9301-0	Nein	saemann_1922	kaufhaus.saemann		kaufhaus-saemann.de		Ja	Ja	Ja	Ja	Nein	Nein	Ja	Nein	Nein	Nein	Mode, Sport, Living, Spielwaren	OK
Goldwerk	Goldwerk	Florian 	Hamel	Bahnhofstraße 	71	71665	Vaihingen an der Enz	48.9536961,8.976561149999998	http://goldwerk.online/wp-content/uploads/2020/03/photo_2019-12-01_22-31-26-1024x575.jpg	Goldwerk ist die Bioland Imkerei aus Vaihingen Enz. Unsere regionalen Honige  und handgemachten Kerzen sind hier für dich erhältlich.	mail@goldwerk.online	0152/55724377	0152/55724377	goldwerk.online	nein		www.goldwerk.online		Nein	Ja	Ja	Ja	Ja	Nein	Ja	Nein	Nein	Nein	Feinschmecker, Lebensmittel	
WeingutSonnenhof	Weingut Sonnenhof	Martin	Fischer	Sonnenhof	2	71665	Vaihingen an der Enz	48.994527,8.9542193	Wetransfer	Württembergs größtes, privatgeführtes Weingut wird von Martin Fischer bewirtschaftet. Die Wurzeln des Weinbaus in der Familie reichen bis in das Jahr 1522 zurück.  Mit Achtung, Rücksicht und Vertrauen führt Martin Fischer das Handwerk seiner Vorfahren fort.	info@weingutsonnenhof.de	07042818880		weingutsonnenhof	WeingutSonnenhof		https://www.weingutsonnenhof.de/ 	https://www.weingutsonnenhof.de/online-shop/ 	Ja	Nein	Ja	Ja	Ja	Nein	Ja	Nein	Nein	Nein	Weingut, Wein, Getränke, Genuss, 	
DorfladenEnzweihingen	Dorfladen Enzweihingen	Wilfried	Breit	Vaihinger Str.	8	71665	Vaihingen an der Enz	48.91751,8.98453631739484	von Homepage/Regional, Bio und	Regional, Bio und Edeka	info@enzweihinger-dorfladen.de	07042-9110107	Nein	nein	nein		enzweihinger-dorfladen.de		Ja	Ja	x	Sepa-Lastschrift	nein	nein	ja	nein	nein	nein	Lebensmittel	OK
Jung	"JUNG-Fabrikverkauf / 
Gummi Bären Land"	Jung since 1828 GmbH & Co. KG	GF: Arne Paul Bender & Dennis Dennig	Industriestraße	11	71665	Vaihingen an der Enz	48.9549764,8.9872221	Kann aus Google verwendet werden	Das Gummi Bären Land ist ein Fabrik- und Outlet-Verkauf der JUNG since 1828 GmbH & Co. KG und nicht nur in der Region um Vaihingen/Enz für seine leckeren Bonbons aus eigener Herstellung, Fruchtgummis, Schokolade, Kekse und viele weitere Leckereien bekannt. Der Süßigkeiten Shop bietet eine große Auswahl für alle, die Süßigkeiten online bestellen möchten.	f.moebus@jung-europe.de	07042/959440	Nein	nein 	gummibaerenland		https://www.gummibaerenland.de/	https://www.gummibaerenland.de/	Ja	Ja	Ja	Nein	Ja	Ja	Ja	Nein	Ja	Nein	"Süßwaren,
salzige Snacks"	
Kachur	Kachur Werbeagentur und Werbetechnik	Alexander	Kachur	Steinbeisstraße	55	71665	Vaihingen an der Enz	48.94362615,8.956498015673947	Wetransfer	Hochwertige Schilder, (Fahrzeug-)Beschriftungen und Messeausstattung, alles bei uns im Haus produziert. Dazu Corporate Design, Printmedien und Websites aus unserer Werbeagentur.	info@kachur.eu 	07042 - 814339-0	0171-2102110	kachur_werbung	kachur.werbung		www.kachur.eu		Ja	Ja	Ja	Ja	Ja	Nein	Ja	Nein	Ja	Nein	Werbung, Marketing; Werbeagenturen, Handwerk	OK
TUI	TUI Reisecenter	Andreas	Schaller	Stuttgarter Str.	33	71665	Vaihingen an der Enz	48.9308127,8.9593193	Kann aus Google verwendet werden	Die Liebe zum Detail wird bei uns groß geschrieben, damit Ihr Urlaub etwas ganz Besonderes wird. Ob Rundreisen, Pauschalreisen, Kreuzfahrten oder Ferienhäuser - wir haben in unserem Team für jeden Urlaubswunsch den richtigen Spezialisten. Ausgezeichnet von der TUI mit „ Club der Besten 2017-2019“.	Vaihingen1@tui-reisecenter.de	07042/93300	704293300	nein	TUIReisecenterVaihingen		tui-reisecenter.de/vaihingen1					Ja	nein	Ja	Ja	nein	Ja	nein	Reisebüro	OK
WeinhandlungPosch	Weinhandlung Posch	Carsten	Posch	Mühlstrasse	1	71665	Vaihingen an der Enz	48.9320433,8.955636	Wetransfer	m historischen Gewölbekeller in der Mühlstrasse 1 finden Sie uns mit einer Auswahl von über 220 verschiedener Tropfen der Region und internationalen Anbaugebieten.	wein@weinhandlung-posch.de 	07042/3599094	0172/7084710	vaisommelier	Sommelier71665		www.weinhandlung-posch.de		Ja	Ja	Ja	Ja	Ja	nein	Ja	nein	Ja	nein	Wein, Spirituosen,Feinkost, Feiern	
Sternschnuppe	Sternschnuppe	Doris	Engelhardt	Stuttgarterstrasse 	18	71665	Vaihingen an der Enz	48.9313148,8.9582955	Wetransfer	Unser kleines Fachgeschäft hat ständig neue Ideen für dich bereit. Wir freuen uns mit Dir zusammen auf eine virtuelle Entdeckungsreise in unser Lädchen zu gehen. Lieferung durch Händler: In der aktuellen Lage ja. Ab 15 € in Vaihingen kostenlos.	info@sternschnuppe-vaihingen.de	07042/940058		sternschnuppe_vaihingen_enz	sternschnuppe.vai		www.sternschnuppe-vaihingen.de		Ja	Ja	Ja	Ja	Nein	Nein	Ja	Nein	Nein	Nein	Tee, Kaffee, Süßes, Herzhaftes, Geschenke, Deko 	
